act	v.表演：举动：起作用 n.行为，法令：一幕
item	n.条（款），项目：一则（新闻），（戏剧的）节目
jazz	n.爵士乐
join	v.参加，加入：联合，连接；和···在一起
joke	n.笑话，玩笑v.说笑话，开玩笑
July	n.七月
jump	v.／n.跳跃，跳动，跳过；暴涨，猛增
June	n.六月
junk	n.废物，旧货；舢板
jury	n.陪审团：全体评审员
just	ad.正好地：刚才：只不过a.公正的，公平的
keen	a.锋利的；敏锐的；敏捷的；（on）热心的，渴望的
keep	v.保持，保存，遵守，经营，看守，拘留，维持
kick	n.／v.踢
kill	vt.杀死，消灭；破坏，毁灭：消磨（时间）
kilo	n.（kilogram／kilogramme）千克
kind	a.仁慈的，友好的，亲切的，和蔼的n.种类
king	n.君主，国王
kiss	n.／v.吻，接吻
kite	n.风筝
knee	n.膝，膝盖
knit	v.编织，编结；接合，粘合
knob	n.门把，（球形）把手，旋纽
knot	n.（绳）结：（树）节；节（＝海里／小时）v.打结
know	vt.知道，了解：认识：识别 vi.知道，了解
lace	n.花边；带子，鞋带v.系带，扎带
lack	n.／v.缺乏，不足
lady	n.女士，夫人
lake	n.湖泊，湖水
lamb	n.羔羊，小羊；羔羊肉
lame	a.跛的，（辩解、论据等）无说服力的
lamp	n.灯
land	n.陆地，土地，国家v.（使）靠岸（登陆，降落）
lane	n.小路，小巷，行车道
lash	v.鞭打，摆动，捆扎n.鞭子，鞭打，睫毛，讽刺
last	a.最后的，刚过去的ad.最后n.最后v.持续
late	a.迟的，晚的，晚期的：已故的ad.迟，晚
lawn	n.草地，草坪
lazy	a.懒惰的，懒散的
lead	v.领导；领先；通向，导致n.带领，引导；铅
leaf	n.叶子；（书刊的）一页，一张；金属薄片
leak	v.漏，泄漏 n.漏洞，漏隙；泄漏，漏出
lean	v.倾斜，屈身；倚，靠，依赖a.瘦的，无脂肪的
leap	v.跳，跳跃 n.跳跃，飞跃
left	n.左面，左方a.左边的，左面的：在左方的
lend	vt.借给，贷（款）
lens	n.透镜，镜头
less	a.／ad.更少的（地），更小的（地）
lest	conj.惟恐，免得
levy	n.征收，征税，征兵v.征收，征集，征用
lick	vt.舔；（火焰或浪）掠过；打败 n.舔；少量
life	n.生命，生存；一生，寿命；生活；生物
lift	v.升起，举起，消散n.电梯，上升，免费搭车
like	v.喜欢 prep.象：比如a.相象的 n.象···一样
limb	n.肢，翼，大树枝
limp	a.柔软的，易曲的v.／n.蹒跚，跛行
line	n.线；路线，航线；排；线路；界线v.排队；加衬
link	v.连接，联系n.环节，链环
lion	n.狮子
list	n.表，目录，名单v.把···编列成表，列入表内
live	v.活着，生活，居住a.活的，生动的，直播的
load	v.装（货），装载n.装载（量），负荷（量）；（一）担
loaf	n.一个面包
loan	n.贷款；出借，借出v.借出
lock	n.锁v.锁，锁上
long	a.长的，长时间的，长期的ad.长久，长期地
look	vi.／n.看，注视v.好像，显得n.外表，脸色
loom	n.织布机，织机v.隐现，（危险、忧虑等）迫近
loop	n.圈，环
lord	n.（Lord）上帝，主；主人，长官，君主，贵族
lose	v.丢失，迷路，输掉，亏本，失败，走慢，使沉湎于
loss	n.丧失，遗失：损失，损耗，亏损：失败
loud	a.大声的，响亮的；吵闹的，喧嚣的
love	n.爱，爱情，喜欢vt.爱，热爱；爱好，喜欢
luck	n.运气：好运，侥幸
lump	n.团，块v.（使）成团，（使）成块
lung	n.肺
lure	n.吸引力，魅力，诱惑物vt.引诱，吸引
maid	n.少女，处女，女仆
mail	n.邮件v.邮寄
main	a.主要的，总的n.总管道；干线
make	n.（产品）来源，制法vt.制造，做成，准备
male	n.／a.男性（的），雄性（的）
many	a.许多的，多的pron.许多人或物，许多
mark	n.痕迹；记号；分数v.标记，打分，使有特色
mask	n.面具，面罩；假面具，伪装v.掩饰，化装
mass	n.大量，众多；团，块；（pl.）群众，民众；质量
mate	n.伙伴，同事，同伴，配偶v.结伴，配对，交配
meal	n.膳食，一餐
mean	v.表示···的意思 a.卑鄙的；平均的n.平均值
meat	n.（食用）肉类
meet	n.会，集会v.遇见；会谈；迎接；满足；符合
melt	v.（使）融化，（使）熔化
memo	n.（memorandum）备忘录
mend	v.修理，缝补；改正，改进
menu	n.菜单
mere	a.纯粹的；仅仅，只不过
mess	n.混乱，混杂，脏乱v.弄脏，弄乱，搞糟
mild	a.温和的，轻微的，味淡的，不含有害物质的的
mile	n.英里，哩，海里
milk	n.牛奶：（植物流出的）白色乳液v.挤奶
mill	n.磨粉机，磨坊；作坊，工厂
mind	n.精神，理智，意见，记忆力v.注意，介意，反对
mine	pron.（I的物主代词）我的（东西）n.矿v.采矿
miss	n.小姐v.思念，未击中，错过，漏掉，逃脱
mist	n.薄雾，霭
moan	n.呻吟声，悲叹声v.呻吟，抱怨，悲叹
mock	v.嘲笑a.假的，模拟的n.（常pl.）模拟考试
mode	n.方式，式样
mood	n.心情，情绪；语气
moon	n.（加 the）月球，月亮：卫星
more	a.更多的n.更多的人（或东西）ad.更，更多
moss	n.苔，藓，地衣
most	a.最多的；大多数的ad.最；极其n.大多数
move	v.移动，迁移；活动；感动 n.移动，活动，行动
much	a.多的，大量的ad.十分，非常；到极大程度
must	aux.＆v.必须；很可能；一定要n.必须做的事
mute	a.哑的，缄默的n.哑巴；弱音器v.减弱···的声音
myth	n.神话；虚构的理论
nail	n.指甲，爪；钉v.将···钉牢，钉住
name	n.名字（称／声／义）vt.给···取名：列举；提名
navy	n.海军
near	a.近的，接近的；亲近的prep.靠近 ad.接近
neat	a.整洁的，干净的，优美的，精致的
neck	n.颈脖
need	aux.v.／v.需要；必须n.需要；贫困，困窘
nest	n.窝，巢v.筑巢
news	n.新闻，消息：新闻报道，新闻广播
next	a.紧接的，其次的：贴近的 ad.其次：居后
nice	a.美好的，令人愉快的；友好的，亲切的
nine	num.九 pron.／ad.九（个，只...）
none	pron.没有任何人（东西）：都不ad.一点也不
noon	n.中午，正午
norm	n.准则，规范，准则，平均数
nose	n.鼻子；（飞机，船等的）前端，突出部分
note	n.笔记：按语，注释；钞票，纸币v.记下，摘下
noun	n.名词
numb	a.麻木的，失去感觉的v.使麻木
oath	n.誓言，誓约，诅咒
obey	v.服从，顺从
odds	n.不平等，差异；机会
odor	n.（odour）气味，香味，臭味，名声
okay	a．（okey，OK，．K．）好，行，不错n．同意
omit	v.省略，删去；遗漏，忽略
once	ad.一次，曾经conj.一（旦）···就···n.一次
only	ad.仅仅，只不过a.唯一的conj.可是，不过
onto	prep.在...上面；到...上面
open	n.公开，户外a.开的，开放的v.开
oral	a.口头的
ours	pron.［we 的物主代词］我们的（所有物）
oval	a.卵形的，椭圆形的n.卵形，椭圆形
oven	n.炉，灶，灶箱
over	ad.在上方：遍及地 prep.在的上方a.结束的
pace	n.步，步伐，步调，速度v.踱步，用步测
pack	v.捆扎，打包；塞满，挤满n.包裹，背包，一群／副
pact	n.合同，条约，公约，协定
page	n.页，记录，事件，专栏vt.给...标页码
pail	n.桶，提桶；一桶的量
pain	n.痛，痛苦；（pl.）努力，劳苦vt.使痛苦
pair	n.一对，一双；一副；夫妇v.配对，成对
pale	a.苍白的，灰白的；浅的，暗淡的
palm	n.手掌，掌状物，棕榈vt.与···握手，藏···于掌中
pant	n.喘气v.喘，气喘吁吁地说
park	n.公园，停车场，运动场v.停放（汽车等），寄放
part	n.部分，角色，一方，零件，地区，部，篇v.使分开
pass	v.经／通／穿／度过：传递 n.通行证：考试及格
past	a.过去的ad.过n.过去，昔日 prep.（经）过
path	n.小路，小径；路线，轨道
pave	v.铺砌，铺（路）
peak	n.山顶，最高点；峰，山峰 a.高峰的，最高的
pear	n.梨子，梨树
peel	v.削皮，剥皮n.果皮
peep	v.偷看，窥视
peer	n.同辈，同等地位的人；贵族v.凝视，隐约出现
pest	n.害虫
pick	v.拾，采，摘；挑选，选择n.镐，鹤嘴锄
pile	n.堆，大量，大数目v.（up）堆，叠，堆积
pill	n.药丸
pine	n.松树
pink	n.粉红色 a.粉红色的
pint	n.品脱
pipe	n.管子，导管；烟斗；笛
pity	v.（觉得）可怜，惋惜 n.憾事，怜悯
plan	n.计划，规划；平面图，设计图v.计划
play	v.玩，做游戏：参加比赛n.游戏；玩耍；剧本
plea	n.（法律）抗辩；请求，恳求，托词，口实
plot	n.秘密计划；情节 v.标绘，绘制；密谋，策划
plug	n.塞子，插头v.堵，塞，插上，插栓
plus	prep.加上a.正的，加的n.加号，正号
poem	n.诗
poet	n.诗人
poke	n.刺，戳，懒汉，袋子v.戳，刺，伸出，刺探，闲荡
pole	n.柱，杆；地极，磁极，电极
pol	n.民意测验；（pl.）政治选举v.获得···选票
pond	n.池塘
pool	n.水池，游泳池；合资经营 v.合伙经营，联营
poor	a.贫困的；可怜的；贫乏的；贫瘠的；低劣的
pope	n.罗马教皇，主教，大腿上要害部位
pork	n.猪肉
port	n.港口
pose	n.姿势，姿态v.造成，提出，摆姿势，佯装
post	v.贴出；公告；投寄n.（支）柱；邮政，邮寄：职位
pour	v.灌注，倾泻，涌入，流，倾盆大雨
pray	v.请求，恳求；祈祷，祈求
prey	n.被掠食者，牺牲者，掠食v.捕食，掠夺，折磨
puff	n.一阵，一股（气味等）；喘息；吹嘘v.喘息，鼓吹
pull	v.拉，拖n.拉，拖；拉力，牵引力
pump	n.泵v.用（泵）抽（水）；打气，泵送
pure	a.纯的，纯洁的；纯理论的，抽象的；完全的
push	v.推；催逼，逼迫 n.推，推力；促进，推进
quit	v.离开，退出；停止，放弃，辞职
quiz	n.小型考试，测验，问答比赛
race	n.赛跑；人种，种族；属，种v.赛跑
rack	n.挂物架，搁物架v.使痛苦，折磨
rage	n.愤怒
raid	n／v..袭击，搜查
rail	n.栏杆，围栏；（pl.）铁路；铁轨；横杆，栏杆
rain	n.雨；雨天：下雨vi.下雨vt.使大量落下
rake	n.耙子，耙机v.耙；搜索，探索
rank	n.军衔，社会阶层；排v.分等级，把···分类
rape	n.／vt.掠夺，蹂躏，强奸
rare	a.稀有的，难得的，珍奇的；稀薄的，稀疏的
rash	a.轻率的，鲁莽的n.皮疹
rate	n.速率；等级；价格，费用v.估价；评级，评价
read	v.朗读：阅读 vt.辨认，观察vi.读到，获悉
real	a.真的，真实的；实际的，现实的
reap	v.收割，收获
rear	n.后面，背后，后方v.饲养，抚养，栽培，举起
reed	n.芦苇，苇丛；芦笛，牧笛
reel	n.卷筒，线轴v.卷，绕
rein	n.缰绳，统治，支配v.驾驭，控制，统治
rely	v.（on）依赖，依靠；信赖，信任
rent	v.租，租赁n.租金
rest	n.休息：剩余部分v.休息：睡：放，靠，搁
rice	n.稻，米
rich	a.富的，有钱的；富饶的；（in）充足的，丰富的
ride	v.／n.骑，乘
ring	n.戒指；环；铃声；（打）电话 v.按（铃），敲（钟）
riot	n.暴（骚）乱，蔓延，彩色缤纷 v.骚乱，暴动
ripe	a.熟的，成熟的：（for）时机成熟的
rise	v.升起；起立；上涨；起义 n.上涨，增高；起源
risk	v.冒···的危险 n.冒险；风险
road	n.路，道路，途径
roar	n.／v.吼叫，怒号；轰鸣，咆哮
robe	n.长袍，上衣
rock	n.岩石，石块v.摇，摇动
role	n.角色，作用，任务，职责
roll	v.滚动；使摇摆；卷，卷起n.卷，卷形物；名单
roof	n.屋顶，顶
room	n.房间，室，空间，地方：余地
root	n.根，根部；根本，根源v.（使）生根，（使）扎根
rope	n.绳，索
rose	n.玫瑰，蔷薇
ruby	n.红宝石
rude	a.粗鲁的；猛烈的，残暴的；粗糙的，粗陋的
ruin	v.毁灭；（使）破产n.毁灭，崩溃；（pl.）废墟
rule	v.统治；支配；裁定n.规章，条例；习惯；统治
rush	v.（使）冲；奔n.冲，急速行进a.（交通）繁忙的
rust	n.铁锈v.（使）生锈
sack	n.袋，包，麻袋v.解雇
safe	a.安全的，牢靠的；谨慎的，可靠的n.保险箱
sail	n.帆，航行v.航行
sake	n.缘故，理由
sale	n.出售，上市；贱卖，廉价出售；销售额
salt	n.盐，盐，类v.腌，盐渍
same	a.相同的pron.相同的人（或物）ad.同样地
sand	n.沙；（pl.）沙滩，沙地
sane	a.心智健全的，神志清醒的，明智的，稳健的
save	v.救，拯救；储蓄，贮存；节省
scan	v.细看，审视；浏览；扫描 n.扫描
scar	n.疤，疤痕；创伤v.使留下伤痕，创伤
seal	n.封铅，封条；印，图章；海豹v.封，密封
seam	n.缝，接缝
seat	n.座位，底座；所在地，场所v.使坐下
seed	n.种子v.播种；结实，结籽
seek	v.（after，for）寻找，探索；试图，企图
seem	v.好像，似乎
self	n.自我，自己（pl.selves）
sell	v.卖，出售
send	v．（sent，sent）．打发：派遣 ．送：寄出
sham	n.／a.假冒（的），虚伪（的）
shed	v.流出；发散，散发，脱落，脱去n.棚，小屋
ship	n.船舶，舰艇v.装运，航运，运送：发货
shoe	n.鞋
shop	n.商店，店铺；工厂，车间v.买东西
shot	n.开枪，射击；投篮；弹丸，炮弹，子弹
show	n.节目，表演v.上演（戏剧等），放映（电影）
shut	v.关，关闭
sick	a.有病的，患病的；恶心的，想吐的
side	n.旁边，侧面：坡，岸；一边／侧／方 vi.支持
sigh	n.叹息，叹息声v.叹息，叹气
sign	n.标记，招牌；征兆，迹象v.签名（于），署名（于）
silk	n.丝，绸
sing	v.唱，演唱；鸡叫
sink	v.（使）下沉，下落n.水槽，水池
site	n.位置，场所，地点
size	n.大小，尺寸，规模；尺码
skim	vt.撇去（液体表面）之漂浮物vi.轻轻掠过
skin	n.皮，皮肤；兽皮，皮毛；外皮，外壳v.剥皮
skip	vi.略过，跳过n.跳跃 vt.故意忽略：略过
slam	v.（门、窗等）砰地关上n.猛然关闭的声音
slap	n.／v.拍，掌击
slim	a.苗条的；（机会）少的v.减轻体重，变苗条
slip	v.滑，滑倒；滑掉；溜走n.疏忽，小错，口误，笔误
slit	v.切开，截开，纵割n.细长裂缝，狭长切口
slot	n.狭缝：空位vt.放入狭缝中：把···纳入
slow	a.慢的，不活跃的v.（down）（使）放慢，减速
slum	n.贫民窟，贫民区，陋巷
smog	n.烟雾
snap	v.啪地移动：（使）突然断开，断开（成两截）
snow	n.雪，下雪 vi.下雪：如雪一般地落下
soak	v.浸泡，浸湿，浸透
soap	n.肥皂
soar	vi.（指鸟等）高飞，翱翔；飞涨；高耸
sock	n.（pl.）短袜
soda	n.苏打，汽水
sofa	n.长沙发，沙发
soft	a.软的；温柔的；细嫩的，光滑的；不含酒精的
soil	n.泥土，土地，土壤v.弄脏，（使）变脏
sole	a.单独的，唯一的n.脚垫，鞋底
solo	n.独奏 a.＆ad.单独的（地）：独唱的（地）
some	a.几个；一些；有些；某（人或物）pron.一些
song	n.歌唱，（虫、鸟等）鸣声；歌曲，歌词
soon	ad.不久，即刻;快，早
sore	a.疼痛的；痛心的n.痛处，疮口
sort	n.种类，类别v.分类，整理
soul	n.灵魂，心灵；精神，精力；人
soup	n.汤
sour	a.酸的；发酸的；酸痛的；脾气坏的；刻薄的
span	n.跨度，跨距
spin	v.旋转；纺纱；织网，吐丝 n.旋转；自转
spit	v.吐（唾沫），吐痰n.唾液
spot	n.斑点；地点 v.认出，认清，发现；玷污，弄脏
spur	n.靴刺，马刺；刺激，刺激物v.刺激，激励
stab	v.／n.刺，戳
star	n.星：恒星：明星v.用星号标出：扮演主角
stay	vi.逗留：保持 vt.停止，延缓n.逗留，停留
stem	n.茎，干vt.堵（挡）住vi.起源于，由···造成
step	n.步；台阶，梯级；步骤，措施 v.踏，走，举步
stir	v.搅拌，搅动；动，摇动；激动；轰动；煽动，鼓动
stop	v.停止；塞住；阻止，阻挠；逗留n.停车站；停止
stun	vt.使···失去知觉：使目瞪口呆，使吃惊
such	a.这样的；上述的ad.那么pron.这样的人／事物
suck	v.＆n.吸，舐；吸收（取）
suit	v.合适，适合；相配，适应n.一套西服；诉讼
sure	a.肯定的；一定会···的；有信心的，有把握的
swan	n.天鹅vi.闲荡，游荡
sway	vi.摇动：倾斜 vt.使摇动 n.摇动：影响力
swim	vi.游泳；游；漂浮；眩晕；充溢vt.游过 n.游泳
tail	n.尾巴；尾部；跟踪者vt.尾随，跟踪
take	v.拿取：吃：记录：取得；花费；捕获：认为
tale	n.故事，传说
talk	n.谈话：聊天：讲话：演讲 v.说话：交谈
tall	a.（身材）高的，高大的：夸大的，离谱的
tame	a.驯服的，温顺的；沉闷的，乏味的vt.驯服
tank	n.罐，槽，箱；坦克vt.储于槽中
tape	n.带（子）；录音带，磁带 v.录音；系，捆
task	n.任务，作业，工作
taxi	n.出租汽车v.［指飞机］（使）滑行
team	n.小队，小组v.协同工作
tear	n.(pl.)眼泪 vt.撕裂;使···分裂 vi.破裂
te	vt.告诉，讲述；告诫；吩咐，命令：辨／区别
tend	v.趋向，往往是；照料，看护
tent	n.帐篷
term	n.学期；期限，期间；（pl.）条件，条款；术语
test	n.／vt.试验；检验；测验
text	n.正文，文本：原文：教科书
than	conj.（用于形容词，副词的比较级之后）比
that	a.／pron.那，那个ad.那么 conj.［引导从句］
them	pron.他们／她们／它们（they 的宾格形式）
then	ad.当时，在那时；然后，于是：那么，因而
they	商店。（一般人经常用复数 they 来指一家商店）
thin	a.薄的，细的；稀薄的，淡的；瘦的v.变薄；变稀
this	pron.这（个）a.这（个）；今ad.这（样）
thus	ad.如此：像这样；于是；因此
tick	n.滴答声；勾号v.滴答响；打勾号于
tide	n.潮，潮汐；潮流，趋势
tidy	a.整洁的，整齐的v.整理，收拾
tile	n.瓦片，瓷砖vt.铺瓦于，贴砖于
till	prep.直到，直到···为止，与until 意思相同
tilt	v.（使）倾侧：（使）倾斜 n.倾侧：倾斜
time	n.时间，时刻：次，回：时代，时期：倍，乘
tiny	a.极小的，微小的
tire	v.（使）疲倦，（使）厌倦n.（＝tyre）轮胎，车胎
toll	n.（道路、桥等的）通行费；牺牲：死伤人数
tomb	n.坟，冢
tone	n.音调，音色；风气，气氛；腔调，语气；色调
tool	n.工具，用具：方法，手段
toss	vt.向上掷／扔；摇摆，颠簸n.投，扔：摇动
tour	n.旅游，旅行；巡回演出／比赛 v.旅游
town	n.市镇；市民：城市商业区，闹市区
tram	n.有轨电车
trap	n.陷阱，圈套vt.诱捕；使中圈套vi.设圈套
tray	n.盘，碟，托盘
tree	n.树，树状物vi.爬上树
trim	a.整齐的，整洁的v.／n.整理，修整，装饰
trip	n.旅行，远足v.绊倒；失足；犯错
TRUE	a.真实，不假的；忠实，可靠的；正确无误的
tube	n.管，软管；电子管，显像管；地铁
tuck	v.卷起；塞进
tune	n.调子，曲调；和谐，协调vt.调音，调节，调整
turn	v.／n.（使）转动；（使）旋转；（使）转变n.机会
twin	a.双的，成对的，孪生的n.孪生子，双生子
type	n.型式，类型；印刷字体；活／铅字 v.打字
ugly	a.丑陋的，难看的；丑恶的，讨厌的
undo	v.松开，解开
unit	n.单位，单元；部件，元件；机组，装置
upon	prep.在···上；在···旁［＝on］
urge	vt.催促；怂恿；强调 n.强烈欲望，迫切要求
used	a.用旧了的，旧的；习惯于···；过去惯／经常
vain	a.徒劳的，徒然的；自负的，爱虚荣的
vary	vt.改变，变化；使多样化
vase	n.花瓶，瓶
vast	a.巨大的，辽阔的，大量的；巨额的
veil	n.面纱，遮蔽物v.用面纱掩盖，掩饰
vein	n.血管；静脉；叶脉；纹理；情绪vt.使成脉络
verb	n.动词
very	ad.很，非常；完全a.正是的：真正，真实的
vest	n.背心，马甲；汗衫，内衣
veto	n.／v.否决
vice	n.邪恶；恶习；（pl.）台钳，老虎钳
view	n.视野；风景；观察；见解；照片vt.观察；认为
visa	n.（护照等的）签证：维萨信用卡 vt.签证
void	a.空虚的；没有的；无效的
volt	n.伏特
vote	n.投票，表决；选票，选票数v.投票，表决
wage	n.（常pl.）工资，报酬vt.进行，开展
wait	v.（for）等待；（on）侍候n.等候，等待时间
wake	v.醒来，唤醒；使觉醒，激发，引起
walk	v.走，步行，散步；走遍n.走，步行，散步
wall	n.墙，壁，围墙vt.筑墙围住，用墙隔开
want	vt.想要；希望；需要；缺，缺少n.需要；短缺
ward	n.病房；行政区；监护；被监护人 vt.挡住
warm	a.温暖的，热心的，热情的v.（使）变暖
warn	vt.警告 vi.发出警告
wash	n.洗：洗的衣物vt.冲刷，洗：冲出vi.洗澡
watt	n.瓦，瓦特
wave	n.波浪；（挥手）示意：飘扬 v.（挥手）示意，致意
weak	a.虚弱的，软弱的；不够标准的；淡薄的，稀的
wear	v.穿着，戴着：磨损，用旧 n.穿，戴：磨损
weed	n.杂草，野草v.除草，锄草
week	n.星期，周
weep	v.哭泣，流泪；滴下n.哭泣
weld	v.焊接n.焊接，焊缝
well	ad.好，令人满意地；很int.哎呀，好啦，嗯
west	n.／a.西，西方（的），西部（的）ad.向西
what	pron.什么a.多么，何等：什么；尽可能多的
when	ad.／pron.何时：当时 conj.那时；然后；而
whip	n.鞭子；车夫v.鞭打，抽打；突然移动
whom	pron.谁：哪个人（who的宾格）
wide	a.宽阔的；睁大的；远离的ad.广阔地；偏差地
wife	n.妻子，夫人，太太
wild	a.野性的，野生的；野蛮的；狂热的：荒芜的
will	aux.／v.将；会；愿意 n.意志；决心；愿望
wind	n.风；气息 v.转动；缠绕；上发条，；蜿蜒而行
wine	n.葡萄酒，果酒
wing	n.翅，翅膀；翼，机翼；派别vt.装以翼
wink	v.（使）眨眼：眨眼示意 n.眨眼；小睡，打盹
wipe	v.／n.擦，揩，抹
wire	n.金属线，电线；电报，电信v.发电报（给）
wise	a.有智慧的，聪明的
wish	v.希望；但愿；祝n.愿望，希望；［pl.］祝愿
with	prep.跟···一起；用；具有：关于；因；随着
wolf	n.狼
wood	n.木材，木头，木料：（pl.）森林，林地
wool	n.羊毛，毛线，毛织品
word	n.词，词语：言语，话：谈话：消息，信息
work	n.工作（量）：作品：［pl.］工厂v.工作；运转
worm	n.虫，蠕虫
wrap	v.裹，缠，卷，包n.披肩，围巾
yard	n.院子，场地；码
yawn	v.打呵欠n.呵欠
year	n.年，年度，学年a.／ad.每年，一年一次
yell	vi.大叫；呼喊vt.叫着说n.叫声；喊声
your	pron.［you的所有格］你的，你们的
zeal	n.热心，热忱，热情
zero	n.零，零度num.零
zinc	n.锌
zone	n.地区，区域v.分区，划分地带
zoom	vi.（飞机）陡升 n.陡升；嗡嗡声
abide	vi.（abode，abided）（by）遵守；坚持
about	ad.在周围：大约 prep.关于：在周围 a.准备
above	a.上述的ad.在上面prep.在..之上，高于
abuse	vt.滥用；辱骂；诋毁 n.滥用；恶习；弊端
actor	n.男演员；演员，行动者
acute	a.剧烈的；敏锐的；成锐角的；尖的，高音的
adapt	vt.使适应，使适合：改编；改写vi.适应
admit	vt.承认，供认：准许···进入，准许...加入
adopt	vt.采用，采取（态度等）；选定：收养
adore	vt.崇拜，敬慕，爱慕：非常.喜欢
adult	n.成年人a.成年的，充分长成的，成熟的
after	prep.在...以后;在...后面 adv.以后，后来
again	prep.在...:在...后面adv.以后,后来
agent	n.代理人：代理商：产生作用的人或事物
agony	n.（精神或肉体的）极大痛苦，创伤
agree	vi.答应，赞同：适合，一致；商定，约定
ahead	ad.在前面（头）：向（朝）前：提前
aisle	n.（教堂、教室、戏院等里的）过道，通道
alarm	n.惊恐：警报（器）vt.惊动，惊吓：向···报警
album	n.（同一表演者的）集锦密纹唱片；集邮册，相册
alert	a.机警的，警觉的：机灵的vt.使···警觉
alien	n.外侨，外国人：外星人a.外国的：相异的
alike	a.同样的，相像的ad.一样地；同程度地
alive	a.活着的；存在的；活跃的：（to）敏感的
allow	vt.允许，准许；承认；给予：（for）考虑到
alloy	n.合金vt.将···铸成合金
alone	a.单独的，孤独的ad.单独地，独自地；仅仅
along	ad.向前：和...一起，一同prep.沿着，顺着
aloud	adv.出声地，大声地
alter	vt.改变，更改：改做（衣服）vi.改变，变化
amaze	vt.使惊奇，使惊愕：使困惑 vi.表现出惊奇
amend	vt.修改，修订，改进
among	prep.在···之中；在一群（组）之中：于···之间
ample	a.充分的，富裕的：宽敞的，宽大的
amuse	vt.向···提供娱乐，使···消遣：引人发笑
angel	n.天使，安琪儿
anger	n.愤怒，气愤vt.使发怒，激怒vi.发怒
angle	n.角，角度v.钓鱼：（采用各种方法）取得
angry	a.生气的，愤怒的：（天气）风雨交加的
ankle	n.足踝，踝关节
annoy	vt.使恼怒，使生气：打扰vi.招人讨厌
apart	ad.分离，离开，隔开a.分离的，分隔的
appal	v.使惊骇，使恐怖
apple	n.苹果，苹果树
apply	vi.（以书面形式）申请；请求vt.应用：实施
April	n.（名）四月
argue	vi.辩论，争论vt.辩论，论证：说服，劝说
arise	v.出现，发生：（from）由···引起，由···产生
array	n.大量：排列；盛装v.列阵；装扮；排列
arrow	n.箭，矢，箭状物：箭头符号
aside	ad.在旁边，到一边n.旁白：离题的话
asset	n.（pl.）资产，财产；有价值的物品；天赋
audio	n.／a.音频（响）（的）：声音（的），听觉（的）
aural	a.听觉的，听力的
avail	n.［一般用于否定句或疑问句中］效用，利益
avert	v.防止，避免；转移（目光、注意力等）
avoid	vt.防止，避免：逃避，避开
await	vt.等候，期待：（事情等）降临于
awake	a.醒着的vt.唤醒，使觉醒vi.醒来，醒悟到
award	vt.授予，给予：判定n.奖，奖金；仲裁
aware	a.知道的，意识到的：
awful	a.极度的，极坏的：威严的，可怕的
bacon	n.咸猪肉，熏猪肉
badge	n.徽章，像章；标记；象征：记号
badly	ad.非常，严重地；坏地，差地，拙劣地
basic	a.基本的，基础的
basin	n.盆，脸盆；内海，盆地
basis	n.基础，根据
batch	n.一批，一组，一群
bathe	v.游泳，洗澡，浸，弄湿
beach	n.海滩，湖滩，河滩
beard	n.胡须
beast	n.兽，牲畜；凶残的人，举止粗鲁的人
begin	v.（began，begun）开始，着手
being	n.生物，生命，存在；
belly	n.肚子，腹部；（像肚子一样）鼓起的部分，膛
below	prep.在···下面，在···以下ad.在下面，向下
bench	n.长凳，条凳；（工作）台，座
Bible	n.圣经
birth	n.出生，诞生；出身，血统；起源；出现
black	a.黑（色）的；黑暗的n.黑（色）；黑暗；黑人
blade	n.刀刃，刀片；桨叶；草叶，叶片
blame	v.责备：怪，把···归咎于n.责任，过错；责备
blank	a.空白的，空着的：失色的n.空白；表格
blast	n.一阵（风）；爆炸冲击波：管乐器声v.爆炸
blaze	n.火焰：火光：闪光，光辉v.燃烧，冒火焰
bleak	a.荒凉的：冷酷的：没有希望的
bleed	v.出血，流血
blend	n.混合（物）v.混和，混杂
bless	v.祝福，保佑
blind	a.盲的，瞎的：盲目的vt.使失明n.百叶窗
block	n.大块木（石）料：街区：障碍物v.阻塞，拦阻
blood	n.血液，血：血统，血亲：血气
bloom	n.花（朵）：开花（期）v.开花
blunt	a.率直的：钝的v.（使）钝；（使）迟钝
blush	v.／n.脸红
board	n.板，木板；全体委员：伙食v.上船（车，飞机）
boast	v.（of，about）自夸，夸耀n.自夸，大话
bonus	n.奖金，红利
boost	n.／vt.提升：增加：抬高（价格）：支援：
booth	n.电话亭，货摊
bosom	n.胸，胸部：胸怀：内心：a.亲密的
bound	v.／n.跳（跃）a.被束缚的，一定的：n.界限
bowel	n.肠：［pl.］内部，深处
brace	v.使防备；支撑；使（手，足，肩等）绷紧 n.托架
brain	n.（大）脑，骨髓；（pl.）脑力，智能
brake	v.／n.制动（器），闸，刹车
brand	n.商标，标记，牌子 v.使铭记：打火印，打烙印
brass	n.黄铜，铜器
brave	a.勇敢的v.勇敢地面对（危险等）
bread	n.面包
break	vt.打破：中止：违反 vi.破（裂）n.休息时间
breed	v.（使）繁殖，生殖：产生；教养，抚养 n.品种
bribe	n.贿赂v.向一行贿，买通
brick	n.砖块，砖：v.用砖围砌，用砖填补
bride	n.新娘
brief	a.简短的，简洁的x.简短介绍，简要汇报
bring	v.拿来，带来；产生，引起：使处于某种状态
brisk	a.轻快的：生气勃勃的：兴隆的
